primary_engine,questions
Dynamic Programming,354
Greedy,261
Custom Exact Technique,246
Hash Map,213
Math / Number Theory,197
Two Pointers,180
Prefix / Suffix Precompute,158
Sliding Window,150
Counting,141
DFS,128
Binary Search,127
BFS,126
Matrix / Grid,110
Heap,101
SQL / Window Function,94
Simulation / Scan / Precompute,90
Shell / Unix,89
SQL / Join,87
Hash Set,80
Tree,79
Backtracking,78
SQL / Table Ops,78
SQL / Group By,72
Sorting / Sweep,70
Shortest Path / Flow,64
Design / Process / JS,63
Stack,57
Union-Find,55
Monotonic Stack,50
Bit / Mask,49
Segment Tree,41
Trie,34
Linked List,34
Queue / Deque,24
Geometry,23
Graph,23
Topological Sort,22
Fenwick / Sparse Table,16
Divide and Conquer,9
